GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,19050,20102,20625,21526,22198,23001,24137,25945,26984,28137,29213,30049,30069,30933,31581,32410,32448,33487,34538,35174
Alaska,24803,25596,26316,28212,29449,31096,32627,33931,35654,37265,39623,43189,43303,44864,47161,48483,46865,49770,51304,50772
Arizona,19956,21089,21679,22891,23489,24395,25515,27120,28864,30919,31866,32169,31172,30847,31672,32797,32997,34386,35631,36426
Arkansas,17954,18822,19423,20220,21215,21898,23257,24521,25373,26527,27849,28896,28756,29138,30706,32950,32509,34354,35222,35847
California,23430,24894,25714,27344,28432,29682,31178,33304,34550,36841,37747,38368,37847,38541,40311,42443,41932,44170,46720,48209
Colorado,23593,25434,26705,28892,30062,30710,31380,32095,33590,35143,36508,37281,35814,35621,37881,39865,41137,43802,45338,45503
Connecticut,29178,31102,32630,35195,36898,38294,39124,40949,42426,45580,48106,51629,53176,54335,54934,55834,53842,55848,57183,58282
Delaware,23032,25308,27047,29837,32611,33690,34252,34856,34739,36388,36705,36832,37328,37021,38967,38898,38891,40044,41602,42470
District of Columbia,30464,32165,32894,35865,37591,39466,40357,44356,46174,48842,50910,52861,52413,54191,56884,57128,56490,59383,62404,64273
Florida,22538,23809,24589,26036,27110,28188,29334,30891,32376,34565,35495,35685,34171,35531,36841,37201,36601,38488,40334,40767
Georgia,21098,22533,23461,24794,25717,26579,27503,28676,29673,30728,31370,31359,31306,31439,33010,33179,33111,34826,36341,37375
Hawaii,23202,23523,24465,25821,26709,28122,29372,31111,32560,34385,35942,37620,37923,38223,38909,40311,40049,41858,43503,44923
Idaho,18803,20019,20829,21962,22743,23690,24317,25851,26279,27893,28969,29685,28940,29175,30364,31614,32348,33671,34994,35555
Illinois,24527,25695,26560,28429,29435,30403,31223,32412,33336,35290,36893,37929,36971,37402,38504,40119,40584,42535,44032,45051
Indiana,20891,22360,23151,24670,25172,25774,26425,27483,27823,29213,29899,31344,31135,31917,33575,35136,35171,36389,37423,38614
Iowa,21408,22309,22782,24344,25074,26144,26809,29114,29544,31023,32802,34805,34152,34565,36887,38350,38702,39726,40875,41102
Kansas,21851,22993,23599,24757,25619,26228,27191,27678,28829,31421,33444,36587,35694,35521,38247,40424,41139,41757,42113,42372
Kentucky,18666,19559,20216,21742,22350,23131,23757,25190,26016,27283,28163,29439,29476,30054,31133,32210,31960,33198,34338,34708
Louisiana,18837,19669,20102,21177,22593,23508,24328,25339,27057,30217,32179,33906,33346,34279,34928,36454,36241,37972,38912,38461
Maine,20307,21481,22463,23859,25111,26331,27728,29063,29338,30721,31748,33103,33751,34236,35176,36015,35617,37028,38314,39482
Maryland,24740,26610,27992,30025,31401,32751,34176,36434,37594,39651,40634,42787,43323,44192,45619,46799,45652,46808,48452,50131
Massachusetts,26141,27285,28737,31111,32986,34280,35453,37258,38572,41397,42508,44544,45439,46514,47582,49495,48472,49957,52758,54095
Michigan,22350,23490,24631,26271,26790,27299,28086,29008,29425,30083,30853,31756,31098,32047,33649,34730,34853,36312,38125,39170
Minnesota,22964,24652,25799,27419,28421,29413,31048,32853,33090,34356,35789,37330,36404,37447,39182,41511,40924,42605,43906,44704
Mississippi,17277,18091,18524,19447,20571,21151,22019,23330,24585,25383,26806,27925,27728,28244,29359,30406,30608,31469,31857,32567
Missouri,21461,22265,23014,24412,25078,26016,27203,28649,29127,30506,31580,33126,33241,33461,34352,35971,35625,36704,37598,38093
Montana,18037,19189,19503,20609,21513,22456,23979,25612,26813,28485,30040,31685,31304,32391,34203,35936,35379,36279,37839,38323
Nebraska,21921,23229,24145,25350,26504,27481,29374,30470,30816,31781,33932,36050,35911,36928,40744,41618,41135,43334,44363,44811
Nevada,24149,25370,26410,27787,28573,29016,30121,31996,34283,35444,35635,34869,33251,33735,34588,35607,34855,36642,38622,39013
New Hampshire,24524,26582,27807,30632,32301,33429,34198,36157,37048,39479,40503,41687,42221,43314,45034,47356,46653,47077,48723,50069
New Jersey,28179,29496,30450,33066,34202,35952,37180,38738,39454,41893,43204,44886,44947,45454,46795,48520,47893,49702,51642,52799
New Mexico,18160,18869,19095,20488,21899,22722,23629,24900,26125,27378,28499,30325,29916,30583,31840,32529,31574,33425,34473,34954
New York,25829,26867,28093,29898,30606,31814,32726,34180,35276,37278,39261,40051,40656,41426,43124,45957,45620,46820,48356,49251
North Carolina,21091,21959,22706,23696,24088,24597,25536,27549,28746,30272,31822,33745,32701,32033,32696,34782,33682,35249,36595,37379
North Dakota,19110,21123,21472,23491,23989,24988,27359,27470,28889,29766,32799,37093,36826,39836,43624,50278,49385,51591,49812,49565
Ohio,21672,22748,23469,24559,25265,26014,27037,28238,28810,30155,31230,32453,32315,32825,34706,36047,36175,37557,38873,39637
Oklahoma,18529,19284,19583,21083,22298,23088,24240,26098,28024,30515,31374,34758,32064,32957,34834,37315,38648,40949,39740,38620
Oregon,21445,22409,22942,24399,24988,25467,26497,27952,28383,30301,31474,32572,31894,31997,33117,34730,34606,36586,38539,39506
Pennsylvania,22602,23666,24609,26258,27194,28284,29506,31376,32242,33670,35419,36971,36776,37822,39239,41032,40849,42423,43783,44686
Rhode Island,22523,23848,24680,26126,27381,28976,30644,32001,32849,34657,36083,37198,37202,38760,39619,41497,41149,42385,44009,44614
South Carolina,19032,20022,20707,21988,22572,23381,24135,25310,26092,27406,28567,29642,29119,29541,30762,32129,31843,33474,34836,35526
South Dakota,20523,22034,22884,24248,25202,25594,28214,29970,31243,32268,35472,37919,36965,38306,41321,41495,40864,41889,43470,43613
Tennessee,20896,22652,23276,24455,24883,25733,26811,28202,28923,30072,31054,32393,32448,33298,34690,35937,35690,36809,38488,39638
Texas,21172,22505,23285,24785,26043,26494,27280,28046,29752,31542,32915,35287,33873,34812,37027,39214,39023,41136,42019,41543
Utah,18593,19433,20070,21064,21771,22482,23173,24332,25633,27574,29052,30284,28773,28858,30452,32009,32206,33610,35251,36417
Vermont,20900,22345,23631,25227,26804,27802,29185,30936,31134,33006,34536,36501,36892,37456,39312,40790,41062,42335,43852,44898
Virginia,23773,24854,26054,27841,29068,30055,31804,33727,35389,37288,38853,39884,39593,40439,41925,43704,42480,43897,45446,46177
Washington,24052,25639,26623,28371,29145,30142,31334,33558,34216,36321,38626,40408,38620,38755,40071,43053,43003,45655,47278,48678
West Virginia,17452,18204,18749,19908,21026,22220,22703,23484,24163,25767,26456,28080,28747,29324,30730,31686,31328,32244,32946,33132
Wisconsin,21814,23169,24080,25610,26809,27942,28643,29778,30367,31927,33149,34290,34352,34824,36417,38078,37876,39367,40582,41302
Wyoming,20949,22170,23642,25004,26717,28182,30214,31798,34187,37916,39014,42752,39962,41313,44832,46942,46876,50219,50319,49595
