Code,GeoName,2016PCE
CA,California,1641724
TX,Texas,1018027
NY,New York,926168
FL,Florida,796537
IL,Illinois,534750
PA,Pennsylvania,522697
OH,Ohio,434951
NJ,New Jersey,438030
MI,Michigan,390497
GA,Georgia,357332
NC,North Carolina,342753
VA,Virginia,350198
MA,Massachusetts,354085
WA,Washington,312817
MD,Maryland,269223
AZ,Arizona,239680
MN,Minnesota,242489
IN,Indiana,236353
CO,Colorado,236296
MO,Missouri,228648
TN,Tennessee,227596
WI,Wisconsin,224143
SC,South Carolina,165036
OR,Oregon,162684
LA,Louisiana,160025
AL,Alabama,152397
CT,Connecticut,173447
KY,Kentucky,147697
OK,Oklahoma,129390
IA,Iowa,115999
UT,Utah,107142
NV,Nevada,106364
KS,Kansas,104615
MS,Mississippi,90261
AR,Arkansas,92984
NM,New Mexico,74290
WV,West Virginia,63022
NE,Nebraska,74320
ID,Idaho,56642
ME,Maine,57281
NH,New Hampshire,65151
MT,Montana,42956
RI,Rhode Island,44850
DE,Delaware,40813
SD,South Dakota,34164
ND,North Dakota,36552
VT,Vermont,29761
DC,District of Columbia,38720
WY,Wyoming,23611
AK,Alaska,36758
HI,Hawaii,64460
