GeoName,Code,Year,Savings Rate
Alabama,AL,1997,56265
Alabama,AL,1998,58752
Alabama,AL,1999,62574
Alabama,AL,2000,66078
Alabama,AL,2001,68633
Alabama,AL,2002,71910
Alabama,AL,2003,75136
Alabama,AL,2004,79529
Alabama,AL,2005,86524
Alabama,AL,2006,90790
Alabama,AL,2007,94621
Alabama,AL,2008,96894
Alabama,AL,2009,95050
Alabama,AL,2010,98727
Alabama,AL,2011,103119
Alabama,AL,2012,105160
Alabama,AL,2013,108387
Alabama,AL,2014,111187
Alabama,AL,2015,113880
Alabama,AL,2016,117223
Arizona,AZ,1997,71104
Arizona,AZ,1998,76874
Arizona,AZ,1999,84479
Arizona,AZ,2000,92695
Arizona,AZ,2001,97761
Arizona,AZ,2002,103174
Arizona,AZ,2003,110390
Arizona,AZ,2004,121532
Arizona,AZ,2005,134995
Arizona,AZ,2006,148572
Arizona,AZ,2007,159446
Arizona,AZ,2008,161420
Arizona,AZ,2009,156765
Arizona,AZ,2010,163130
Arizona,AZ,2011,170614
Arizona,AZ,2012,175327
Arizona,AZ,2013,181604
Arizona,AZ,2014,189357
Arizona,AZ,2015,195636
Arizona,AZ,2016,203254
Arkansas,AR,1997,24056
Arkansas,AR,1998,25585
Arkansas,AR,1999,28010
Arkansas,AR,2000,30707
Arkansas,AR,2001,31614
Arkansas,AR,2002,32801
Arkansas,AR,2003,34316
Arkansas,AR,2004,36780
Arkansas,AR,2005,40236
Arkansas,AR,2006,42975
Arkansas,AR,2007,46265
Arkansas,AR,2008,46617
Arkansas,AR,2009,45870
Arkansas,AR,2010,47794
Arkansas,AR,2011,49937
Arkansas,AR,2012,49895
Arkansas,AR,2013,52228
Arkansas,AR,2014,52768
Arkansas,AR,2015,54266
Arkansas,AR,2016,57137
California,CA,1997,653842
California,CA,1998,693443
California,CA,1999,749082
California,CA,2000,817924
California,CA,2001,858432
California,CA,2002,896260
California,CA,2003,942934
California,CA,2004,1008667
California,CA,2005,1076403
California,CA,2006,1144508
California,CA,2007,1208565
California,CA,2008,1232561
California,CA,2009,1189016
California,CA,2010,1233303
California,CA,2011,1292861
California,CA,2012,1344597
California,CA,2013,1379113
California,CA,2014,1446906
California,CA,2015,1518326
California,CA,2016,1593515
Colorado,CO,1997,67242
Colorado,CO,1998,73059
Colorado,CO,1999,81376
Colorado,CO,2000,90437
Colorado,CO,2001,96272
Colorado,CO,2002,99004
Colorado,CO,2003,103829
Colorado,CO,2004,110922
Colorado,CO,2005,118081
Colorado,CO,2006,125099
Colorado,CO,2007,132139
Colorado,CO,2008,136315
Colorado,CO,2009,134770
Colorado,CO,2010,140178
